,cities,Lat,Temperature,Humidity,Cloudiness (%),Wind Speed (mph)
506,belousovka,50.13,66.2,63.0,75.0,11.18
507,belaya gora,68.54,38.42,82.0,80.0,4.61
508,san antonio,-33.58,51.8,100.0,75.0,3.27
509,shirokiy,53.87,66.23,48.0,80.0,8.3
510,saint-georges,46.12,41.3,81.0,20.0,5.06
511,rudnogorsk,57.27,57.23,49.0,0.0,3.83
512,bubaque,11.28,80.27,100.0,48.0,11.88
513,manokwari,-0.87,82.43,100.0,24.0,3.38
514,rettikhovka,44.17,63.53,76.0,56.0,7.18
515,karmaskaly,54.37,59.0,100.0,75.0,2.24
516,lethem,3.38,81.35,64.0,8.0,11.32
517,uruguaiana,-29.77,78.8,83.0,0.0,4.7
518,montecristo,8.3,72.53,100.0,88.0,2.15
519,wellington,-41.29,53.6,76.0,0.0,21.92
520,lorengau,-2.02,84.41,100.0,64.0,4.83
521,rondonopolis,-16.46,70.91,85.0,0.0,2.59
522,samarai,-10.62,78.2,99.0,88.0,18.03
523,hay river,60.82,35.6,47.0,20.0,9.17
524,kieta,-6.22,78.92,100.0,92.0,4.94
525,awjilah,29.14,71.99,60.0,0.0,4.94
526,zonguldak,41.25,62.6,82.0,40.0,4.7
527,susaki,33.42,80.6,69.0,40.0,9.17
528,baikunthpur,23.26,84.23,79.0,0.0,8.63
529,sabancuy,18.97,80.81,100.0,24.0,7.96
530,revda,67.94,48.41,78.0,92.0,11.77
531,north bend,43.41,53.96,96.0,1.0,3.94
532,lodja,-3.52,76.67,82.0,8.0,4.61
533,wainwright,52.84,31.58,89.0,92.0,10.54
534,nisia floresta,-6.09,71.6,88.0,20.0,4.7
535,khapa,21.42,86.0,70.0,40.0,9.17
536,karpathos,35.51,77.0,69.0,20.0,23.04
